"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","city","state","zip"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64","INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1226530",2,6500,693059.4,"San Pedro | SAN PEDRO","CA","90731 | 90731-3328"
"INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND","org_rg_147","5c2e5ffa-51f7-4403-add6-53731c400a64",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1226530",2,39200,693059.4,"Wilmington","CA","90744-5711"
"MARINE CLERKS ILWU LOCAL 63 - PAC","org_rg_147","b7b2065e-b860-43d3-b082-d9c7cda36118","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","1223277",2,1000,693059.4,"San Pedro","CA","90731 | 90731-2752"
"MARINE CLERKS ILWU LOCAL 63 PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_147","b7b2065e-b860-43d3-b082-d9c7cda36118",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1223277",1,1000,693059.4,"San Pedro","CA","90731"
"MARINE CLERKS ILWU LOCAL 63- PAC","org_rg_147","b7b2065e-b860-43d3-b082-d9c7cda36118","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","adding_to_existing",TRUE,TRUE,FALSE,"same_contributor_id","1223277",2,5500,693059.4,"San Pedro | SAN PEDRO","CA","90731 | 90731-2752"
"MARINE CLERKS ILWU LOCAL 63- PAC SMALL CONTRIBUTOR COMMITTEE","org_rg_147","b7b2065e-b860-43d3-b082-d9c7cda36118","MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge | same_contributor_id","1223277",1,1000,693059.4,"San Pedro","CA","90731"
"MARINE CLERKS PAC LOCAL 63 ILWU","org_rg_147","e8c69d44-2033-489d-be5f-1cc2185ed8c5",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,1500,693059.4,"San Pedro","CA","90731"
"MARINE CLERKS POLITICAL ACTION COMMITTEE LOCAL 63 ILWU","org_rg_147","b7b2065e-b860-43d3-b082-d9c7cda36118",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","1223277",2,1500,693059.4,"San Pedro","CA","90731"
"NORTHERN CALIFORNIA DISTRICT COUNCIL ILWU","org_rg_147","c25add21-9c51-456f-9f2b-265e696ab589",NA,"adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge",NA,1,500,693059.4,"San Francisco","CA","94109"
"IBEW 302 PAC","org_rg_15","aff6cd56-a38e-46c2-a672-f8bc7364d959",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge","840975",1,2500,369287.9,"Martinez","CA","94553"
"IBEW 332 EDUCATION FUND SPONSORED BY INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 332 SMALL CONTRIBUTOR COMMITTEE","org_rg_15","a4aa5814-a7ab-42f6-b316-08e6c1d48095","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 332","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","1298069",3,17700,369287.9,"San Jose","CA","95125"
"IBEW LOCAL 1245 POLITICAL ACTION COMMITTEE","org_rg_15","71da9155-d8e9-41d7-bb87-126e9b89cd2d",NA,"adding_to_existing",TRUE,FALSE,FALSE,"same_contributor_id","742993",1,15000,369287.9,"Vacaville","CA","95696-2547"
"IBEW LOCAL 18","org_rg_15","2b01136b-5efc-43c6-89ed-069bd4bb7ae4",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,14,16410.4,369287.9,"Los Angeles","CA","90004-4340"
"IBEW LOCAL 18 WATER & POWER DEFENSE LEAGUE","org_rg_15","56eca98c-74f0-4335-acb0-3110d5d1df61","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 18","adding_to_existing",TRUE,TRUE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","744817",2,20000,369287.9,"Los Angeles","CA","90004"
"IBEW LOCAL 332","org_rg_15","bc01f34a-f58a-4a28-9f11-a24029bdca6f",NA,"adding_to_existing",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,18,369287.9,369287.9,"SAN JOSE","CA","95125"
"IBEW LOCAL 6 POLITICAL ACCOUNT","org_rg_15","93326e1e-44b8-4d4f-bf46-57fe85ce7d1b","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 6","adding_to_existing",TRUE,TRUE,FALSE,"map1_bridge","921730",1,10000,369287.9,"San Francisco","CA","94117-3515"
"IBEW LOCAL 684 PAC","org_rg_15","11a64a4b-926a-4447-8563-a3582db7d8d7",NA,"adding_to_existing",TRUE,FALSE,FALSE,"map1_bridge","1309647",1,1000,369287.9,"Long Beach","CA","90802-5054"
