"entity_name","review_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"CENTENE AND ITS AFFILIATE HEALTH NET","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,8,34400,21500,TRUE,"Sacramento | SACRAMENTO | St. Louis","CA | MO","63105 | 95814"
"CENTENE AND ITS AFFILIATE HEALTH NET (ALLISON BARNETT)","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,2500,21500,FALSE,"Sacramento","CA","95814-3765"
"CENTENE AND ITS AFFILIATE HEALTH NET COMMUNITY SOLUTIONS, INC.","org_rg_1776","168a16d9-ade2-42e3-89d1-ebd733b25837",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,11700,21500,TRUE,"Sacramento","CA","95814"
"CENTENE AND ITS AFFILIATE HEALTH NET( )","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,2000,21500,FALSE,"Sacramento","CA","95814"
"CENTENE AND ITS AFFILIATE HEALTH NET(ALISSA KO)","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,1500,21500,TRUE,"Sacramento","CA","95814"
"CENTENE AND ITS AFFILIATE HEALTH NET(ALLISSA KO)","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge | name_v4_cross | name_v5_cross",NA,2,20000,21500,FALSE,"Sacramento","CA","95814"
"CENTENE AND ITS AFFILIATE HEALTH NET(KATIE PHILLIPS)","org_rg_1776","7f5efb5c-59dc-4187-96b2-a7dfaf081822",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | name_v4_cross | name_v5_cross",NA,3,30000,21500,FALSE,"Sacramento","CA","95814"
"CENTENE AND ITS AFFLIATE HEALTH NET","org_rg_1776","992a2d69-4f89-49bf-9d24-4d548c720e6c",NA,"adding_to_existing",FALSE,FALSE,FALSE,"map1_bridge",NA,1,1500,21500,FALSE,"Sacramento","CA","95814"
"CENTENE CORPORATION","org_rg_1776","e6d11330-8de0-47c1-b80b-96863550d6d9",NA,"adding_to_existing",FALSE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,2,3000,21500,TRUE,"St Louis","MO","63105"
"CENTENE MANAGEMENT COMPANY LLC","org_rg_1776","d031e75f-9f2a-48da-8a9e-585b1423c3d8","CENTENE MANAGEMENT COMPANY","adding_to_existing",FALSE,TRUE,FALSE,"exact_name_v4 | name_v4_cross | name_v5_cross",NA,1,1500,21500,TRUE,"St Louis","MO","63105"
