"","pac_id","Contributor.Name","name_variants","is_seed","status","unresolvable_reason","is_federal_pac","suspected_federal_pac","suspected_federal_reason","is_major_donor_ie","is_candidate_pac","low_data_sufficiency","unknown_data_sufficiency","data_ok","contributor_is_dc_based","total_received","total_donated_all","data_sufficiency","unitemized_amount","under_5k_amount","over_5k_amount","pct_over_5k","total_direct_over_5k","total_resolvable","pct_resolvable","classification_status"
"152","1046142","Ventura County Deputy Sheriff's Association Political Action Committee","Ventura County Deputy Sheriff's Association Political Action Committee | Ventura County Deputy Sheriff's Association State PAC | Ventura County Deputy Sheriffs' Association State PAC | Ventura County Sheriffs Assoc",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,18300,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"153","1255226","Ventura County Professional Peace Officers Association PAC","Ventura County Professional Peace Officers Assn PAC | Ventura County Professional Peace Officers Assoc PAC | Ventura County Professional Peace Officers Association PAC",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,19900,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"154","1031988","Apartment Association of Greater Los Angeles PAC","Apartment Assn of Greater Los Angeles PAC | Apartment Association of Greater Los Angeles PAC",FALSE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,320945.35,61642.24,5.20658155835998,238495.35,49500,27550,0.0858401593916223,27550,27550,0.0858401593916223,"unresolvable"
"155","1038440","Santa Ana Police Officers Association PAC","Santa Ana Police Officers Assoc | Santa Ana Police Officers Assoc PAC | Santa Ana Police Officers Assoc. PAC | Santa Ana Police Officers Association PAC | Santa Ana Police Officers Association Political Action Committee | SANTA ANA POLICE OFFICERS ASSOCIATION POLITICAL ACTION COMMITTEE | Santa Ana Police Officers PAC | Santa Ana Police Offices Association PAC",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,67500,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"156","1029699","California Association of Winegrape Growers State PAC","CA Assn of Winegrape Growers State PAC | CA Assoc of Winegrape Growers PAC | CA Association of Winegrape Growers State PAC | California Association of Winegrape Growers State PAC | CALIFORNIA ASSOCIATION OF WINEGRAPE GROWERS STATE PAC",FALSE,"resolved","low_data_sufficieny",FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,52497.75,86000,0.610438953488372,5780.25,39665.5,5000,0.0952421770456829,5000,5000,0,"unresolvable"
"157","1464406","Bay Area Neighbors for Affordable Housing 2024, sponsored by NPH Action Fund","Bay Area Neighbors for Affordable Housing 2024, sponsored by NPH Action Fund",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,238282.59,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"158","1314447","California Communications Association (CALCOM) PAC","California Communications Association (CalCom) PAC | California Communications Association (CALCOM) PAC",FALSE,"unresolved","no_contributor_data",FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,11000,NA,NA,NA,NA,NA,0,0,0,"unresolvable"
"159","1026564","Verizon Communications Inc Good Government Club","Verizon Communications Inc Good Government Club | Verizon Communications Inc. Good Government Club-California | Verizon Communications, Inc. Good Government Club - California | Verizon Communications, Inc. Good Government Club-California",FALSE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26595.69,15900,1.67268490566038,6293.87,14014.69,5460,0.205296422089444,5460,5460,0.205296422089444,"unresolvable"
"160","1233793","California Applicants' Attorneys Association PAC - Small Contributor Committee","California Applicants' Attorneys Association PAC - Small Contributor Committee | California Applicants' Attorneys Association SCC | California Applicants' Attorneys Association Small Contributor Committee | California Applicants' Attorneys Association-Small Contributor Committee",FALSE,"resolved","low_pct_resolvable",FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50707.08,23400,2.16696923076923,2172.5,36937.62,10096.96,0.199123278248324,10096.96,10096.96,0.199123278248324,"unresolvable"
"161","1326620","Women in Power (WIP PAC)","Women in Power (WIP PAC) | Women In Power (WIP) PAC | Women in Power PAC",FALSE,"resolved",NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1481577.46,211200,7.01504479166667,0,10994.46,1470583,0.992579220258926,1470583,1114385.23471944,0.752161304289446,"classify_by_contributors"
