"entity_name","review_group_id","original_group_id","entity_id","canonical_name","entity_status","conflicting_contributor_ids","confirmed","is_conflict","link_methods","Contributor.ID","n_contributions","total_amount","max_single_recipient","same_recipient_variant","city","state","zip"
"LABORERS LOCAL 89 (INTERMEDIARY FOR UNITEMIZED DUES)","org_rg_22","org_rg_22","277e3305-c31b-4a59-b2d8-6f8a84f34bd9",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,14,14000,85250,TRUE,"San Diego","CA","92105"
"LABORERS LOCAL UNION NO. 783-PAC","org_rg_22","org_rg_22","30885502-f8c4-4268-ad90-710bd8010515",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id","981333",1,5000,85250,TRUE,"San Bernardino","CA","92408-2110"
"LABORERS' INTERNATIONAL UNION OF NORTH AMERICA LOCAL 89 PAC FUND","org_rg_22","org_rg_22","afd4c1fc-7914-4027-be63-1c0d91530150",NA,"merge_conflict",TRUE,FALSE,FALSE,"name_v5_cross | same_contributor_id | same_contributor_id","1316497",2,45000,85250,TRUE,"San Diego","CA","92105"
"LABORERS' INTERNATIONAL UNION OF NORTH AMERICA-LOCAL 89 PAC FUND","org_rg_22","org_rg_22","afd4c1fc-7914-4027-be63-1c0d91530150",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | name_v5_cross | same_contributor_id","1316497",1,20000,85250,TRUE,"San Diego","CA","92105"
"PLUMBERS & STEAMFITTERS 467 PAC","org_rg_22","org_rg_22","f86ea8a0-74a6-4a9e-979a-acc03ce785c2",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","782481",1,5000,85250,FALSE,"Burlingame","CA","94010-2305"
"PLUMBERS & STEAMFITTERS LOCAL 442","org_rg_22","org_rg_22","9c05dd5e-2da1-4af0-b48b-55c7e515c150",NA,"merge_conflict",TRUE,FALSE,FALSE,"map1_bridge | same_contributor_id | same_contributor_id","871625",2,2000,85250,FALSE,"Modesto","CA","95356"
"PLUMBERS & STEAMFITTERS LOCAL 761 PAC","org_rg_22","org_rg_22","a6597290-3bd4-4ced-bf3f-342ab008791c",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","890466",2,2500,85250,FALSE,"Burbank","CA","91505"
"PLUMBERS & STEAMFITTERS LOCAL UNION NO. 230 PAC","org_rg_22","org_rg_22","3312d970-4d71-4e5e-81f4-1374af2479b4",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge","891894",5,20250,85250,TRUE,"San Diego","CA","92121"
"PLUMBERS AND PIPEFITTERS LOCAL 364","org_rg_22","org_rg_22","fda19974-45af-4229-9839-afbdc75f35c9",NA,"merge_conflict",TRUE,FALSE,FALSE,"exact_name_v1 | exact_name_v1 | map1_bridge",NA,21,3288.91,85250,FALSE,"Colton","CA","92324"
"PLUMBERS AND PIPEFITTERS LOCAL 364 PAC","org_rg_22","org_rg_22","928c6a55-512a-4047-8d0b-78b6899fe5e4",NA,"merge_conflict",TRUE,FALSE,FALSE,"same_contributor_id","1280902",1,20000,85250,TRUE,"Colton","CA","92324-3236"
