pac_id,pac_name,industry,amount,total_received,pct_of_total
1282464,Planned Parenthood of Orange and San Bernardino Counties Community Action Fund PAC,70,5000,398157.4600000004,0.012557845833153534
1286035,CALIFORNIA BUILDING INDUSTRY ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE,40,1891660.7,1891660.7,1
1286381,RIVERSIDE SHERIFFS' ASSOCIATION PUBLIC EDUCATION FUND,77,1061160.05,1061160.0499999998,1.0000000000000002
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,40,9439367.454036355,11825320,0.7982335745701896
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,99,2172120,11825320,0.18368382420095186
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,79,200000,11825320,0.016912861554697886
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,100,11456,11825320,9.687687098530949e-4
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,52,1440.482170094591,11825320,1.2181337757410295e-4
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,50,484.14179467828615,11825320,4.094111573118412e-5
1294628,CALIFORNIA APARTMENT ASSOCIATION ISSUES COMMITTEE,20,451.9219988715849,11825320,3.8216471002187246e-5
1295768,United Nurses Association of California/Union of Health Care Professionals PAC (UNAC PAC) Small Contributor Committee,60,2302483.29,2337110.16,0.9851838947976675
1295768,United Nurses Association of California/Union of Health Care Professionals PAC (UNAC PAC) Small Contributor Committee,77,34626.87,2337110.16,0.01481610520233244
1296948,Service Employees International Union Local 1021 Candidate PAC,77,1493395.8599999999,1493395.86,0.9999999999999999
1298012,SPRINKLER FITTERS & APPRENTICES LOCAL 483 LOCAL PAC,77,125709.71,125709.71,1
1298069,NA,77,369287.9,369287.9,1
1299236,CALIFORNIA CONSTRUCTION & INDUSTRIAL MATERIAL ASSOCIATION PAC,40,60400,77696.3,0.7773857957200021
1299236,CALIFORNIA CONSTRUCTION & INDUSTRIAL MATERIAL ASSOCIATION PAC,76,7296.3,77696.3,0.09390794671046111
1299236,CALIFORNIA CONSTRUCTION & INDUSTRIAL MATERIAL ASSOCIATION PAC,31-33,5000,77696.3,0.06435312878476838
1299236,CALIFORNIA CONSTRUCTION & INDUSTRIAL MATERIAL ASSOCIATION PAC,99,5000,77696.3,0.06435312878476838
1302173,CSEA RETIREES INC PAC,92,280164.75,280164.75,1
1302384,United Domestic Workers of America Action Fund,77,5912913,5912913,1
1302433,"CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",79,3585400,3656243.340000001,0.9806240084665697
1302433,"CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",80,39522.96,3656243.340000001,0.010809718151855831
1302433,"CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",99,21320.38,3656243.340000001,0.005831225664536868
1302433,"CHARTER PUBLIC SCHOOLS POLITICAL ACTION COMMITTEE, SPONSORED BY CALIFORNIA CHARTER SCHOOLS ASSOCIATION ADVOCATES",31-33,10000,3656243.340000001,0.0027350477170373453
1303833,NA,99,207053.45,226140.7,0.9155956888786494
1303833,NA,77,19087.25,226140.7,0.08440431112135055
1303937,NA,99,181243.97999999998,181243.97999999995,1.0000000000000002
1305436,CALIFORNIA ASSOCIATION OF DENTAL PLANS PAC,52,48039.48635634029,59700,0.8046815135065375
1305436,CALIFORNIA ASSOCIATION OF DENTAL PLANS PAC,60,11500,59700,0.19262981574539365
1305436,CALIFORNIA ASSOCIATION OF DENTAL PLANS PAC,99,160.51364365971105,59700,0.002688670748068862
1313474,"American Federation of State, County & Municipal Employees-Council 57 PAC",77,248166,248166,1
1314816,"EMPAC SMALL CONTRIBUTOR COMMITTEE, SPONSORED BY CALIFORNIA CHAPTER, AMERICAN COLLEGE OF EMERGENCY PHYSICIANS",60,43259.75000000001,43259.75,1.0000000000000002
1316497,Laborer's International Union of North America Local 89 Political Action Fund,77,832740.8000000016,832740.8000000035,0.9999999999999977
1318200,NATIONAL UNION OF HEALTHCARE WORKERS CANDIDATE COMMITTEE FOR QUALITY PATIENT CARE AND UNION DEMOCRACY,77,827532.37,827532.37,1
1319072,LiUNA Laborers' Local 585 PAC,77,10028.78,10028.78,1
1325942,PACE of California School Employees,77,2180266.48,2180266.48,1
1327739,NA,20,27939.5,27939.5,1
1328933,NORTH VALLEY LABOR FEDERATION COMMITTEE ON POLITICAL EDUCATION,77,144219.1266581487,147300,0.979084362920222
1328933,NORTH VALLEY LABOR FEDERATION COMMITTEE ON POLITICAL EDUCATION,40,3003.694735170668,147300,0.020391681840941398
1328933,NORTH VALLEY LABOR FEDERATION COMMITTEE ON POLITICAL EDUCATION,76,77.17860668062409,147300,5.239552388365519e-4
1331005,NA,99,65525.68,85525.68,0.766152107764592
1331005,NA,40,19547.324578353437,85525.68,0.22855503257446697
1331005,NA,52,274.37755620849356,85525.68,0.003208130659802922
1331005,NA,50,92.21748470062593,85525.68,0.0010782432212246187
1331005,NA,20,86.08038073744474,85525.68,0.001006485779913644
1332968,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE (FED PAC IDNUMBER: C00042079),31-33,1470836.49,1470836.49,1
1334557,NA,77,123299,123299,1
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,20,39300,83963.51,0.4680604705544111
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,100,10000,83963.51,0.11909935637516822
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,31-33,10000,83963.51,0.11909935637516822
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,40,10000,83963.51,0.11909935637516822
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,80,9663.51,83963.51,0.11509178213250018
1335312,SAN DIEGO REGIONAL CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,60,5000,83963.51,0.05954967818758411
1338487,PERSONAL INSURANCE FEDERATION OF CA AGENTS & EMPLOYEES PAC,52,1200315,1224423.55,0.9803102856033763
1338487,PERSONAL INSURANCE FEDERATION OF CA AGENTS & EMPLOYEES PAC,76,24108.55,1224423.55,0.019689714396623616
1339123,NA,77,334589.50912251277,1736744.66,0.19265325342788892
1339123,NA,20,267888.53253576165,1736744.66,0.15424750609900345
1339123,NA,31-33,166052.3928398203,1736744.66,0.09561128740699298
1339123,NA,60,163852.74136310403,1736744.66,0.09434475034637736
1339123,NA,99,157816.68000843955,1736744.66,0.09086924730111999
1339123,NA,80,128924.64043461357,1736744.66,0.07423350329150491
1339123,NA,79,119460.03517913925,1736744.66,0.06878387936378584
1339123,NA,21,100000,1736744.66,0.057578988036157255
1339123,NA,52,91505.11538283007,1736744.66,0.052687719438751626
1339123,NA,92a,65000,1736744.66,0.03742634222350222
1339123,NA,40,59922.01815673288,1736744.66,0.0345024916654892
1339123,NA,50,59810.82832204725,1736744.66,0.03443846968387814
1339123,NA,76,11157.316332411356,1736744.66,0.006424269836195354
1339123,NA,70,9824.121521403944,1736744.66,0.005656629755466727
1339123,NA,100,647.5119612899539,1736744.66,3.7283083472382976e-4
1339123,NA,92,217.96888962005002,1736744.66,1.2550428087687343e-4
1339123,NA,11,75.24795027342546,1736744.66,4.332700828538921e-5
1340101,NA,20,133088,133088,1
1342002,California American Water Employee PAC,20,18620,18620,1
1342714,NA,99,347793.98,347793.9799999995,1.0000000000000013
1343200,AMERICAN PISTACHIO GROWERS CALIFORNIA PAC,11,566603.11,597103.11,0.9489200449818458
1343200,AMERICAN PISTACHIO GROWERS CALIFORNIA PAC,79,7500,597103.11,0.012560644676595303
1343200,AMERICAN PISTACHIO GROWERS CALIFORNIA PAC,52,6500,597103.11,0.010885892053049264
