entity_name,canonical_name,entity_id,Contributor.ID,review_group_id,to_add_status,confirmed_link,flag,entity_status,confirmed,conflicting_contributor_ids,is_conflict,n_contributions,link_methods,total_amount,max_single_recipient,city,state,zip,notes
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATE PAC SMALL CONTRIBUTOR COMMITTEE,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_117_e,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,8,map1_bridge | same_contributor_id | same_contributor_id,13500,156800,Buena Park,CA,90620,
UNITED FOOD AND COMMERCIAL WORKERS WESTERN STATES COUNCIL CANDIDATES PAC,UNITED FOOD & COMMERCIAL WORKERS WESTERN STATES COUNCIL,760be8fd-377b-40de-b79f-aebf55ca929f,910874,org_rg_117_e,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,39200,156800,Buena Park,CA,90620-3930,
FOREMEN'S UNION LOCAL 94 POLITICAL ACTION COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_147_a,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,1,same_contributor_id,1500,693059.4,San Pedro,CA,90731-2200,
FOREMEN'S UNION LOCAL 94 POLITICAL ACTION FUND,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_147_a,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,2,same_contributor_id,2000,693059.4,Long Beach,CA,90802,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_147_a,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,2,same_contributor_id,3500,693059.4,Long Beach,CA,90802,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 PAC (ILWU),INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,1349650,org_rg_147_a,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,12500,693059.4,Long Beach,CA,90802-4710,
I.L.W.U. LOCAL 13 POLITICAL ACTION COMMITTEE FUND,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1386983,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,5500,693059.4,San Pedro,CA,90731,This contributor id belongs to a 'lobbyist client' -> not sure what to do with that
ILWU LOCAL 13,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,NA,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,1,map1_bridge,6000,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,NA,org_rg_147_b,name is already canonical,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,TRUE,TRUE,FALSE,1,exact_name_v1,8000,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,6300,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (I.L.W.U.) LOCAL 13 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,5000,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION (ILWU) LOCAL 13 PAC SMALL CONTRIBUTOR COMMITTEE,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_147_b,in existing map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,TRUE,TRUE,FALSE,1,map1_bridge | same_contributor_id,11800,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_147_b,in existing map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,TRUE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,6500,693059.4,San Pedro | SAN PEDRO,CA,90731 | 90731-3328,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,NA,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,18,exact_name_v1 | exact_name_v1 | map1_bridge,693059.4,693059.4,San Pedro,CA,90731,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION LOCAL 13 PAC FUND,INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 13,5c2e5ffa-51f7-4403-add6-53731c400a64,1226530,org_rg_147_b,add to map,yes,"mult pac ids per entity, more than one canonical name",adding_to_existing,FALSE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,39200,693059.4,Wilmington,CA,90744-5711,
INTERNATIONAL LONGSHORE AND WAREHOUSE UNION FOREMEN'S LOCAL 94 (ADMIN),INTERNATIONAL LONGSHORE & WAREHOUSE UNION FOREMEN'S LOCAL 94,2b6a60ae-177d-4603-9f64-1cd14b01ba6d,NA,org_rg_147_c,add to map,no,,adding_to_existing,FALSE,TRUE,FALSE,17,exact_name_v1 | exact_name_v1 | map1_bridge,5100,693059.4,Long Beach,CA,90802,
"INTERNATIONAL LONGSHORE & WAREHOUSE UNION, LOCAL 63",MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,b7b2065e-b860-43d3-b082-d9c7cda36118,NA,org_rg_147_e,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,15,exact_name_v1 | exact_name_v1 | map1_bridge,84135,693059.4,San Pedro,Ca | CA,90731,same as marine clerks ILWU?
MARINE CLERKS ILWU LOCAL 63 - PAC,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,org_rg_147_e,in existing map,yes,,adding_to_existing,TRUE,TRUE,FALSE,2,map1_bridge | same_contributor_id | same_contributor_id,1000,693059.4,San Pedro,CA,90731 | 90731-2752,
MARINE CLERKS ILWU LOCAL 63 PAC SMALL CONTRIBUTOR COMMITTEE,MARINE CLERKS INTERNATIONAL LONGSHORE & WAREHOUSE UNION LOCAL 63,b7b2065e-b860-43d3-b082-d9c7cda36118,1223277,org_rg_147_e,add to map,yes,,adding_to_existing,FALSE,TRUE,FALSE,1,same_contributor_id,1000,693059.4,San Pedro,CA,90731,
